E_nu[GeV] muCC mu_barCC eCC e_barCC tauCC tau_barCC nuNC nu_barNC
4.77 5.70215 2.36484 3.20263 1.08444 0.172999 0.0729317 4.17954 1.61259
4.79 6.16648 2.66743 3.44106 1.39083 0.146225 0.0621713 4.03761 1.96494
4.81 5.84158 2.36971 3.09056 1.17614 0.148918 0.0577955 3.81764 1.86699
4.83 5.75345 2.4506 3.2915 1.25746 0.148918 0.0872597 3.97873 1.8814
4.85 5.87709 2.6267 3.45712 1.20232 0.153327 0.0516015 3.89669 1.6378
4.87 5.80591 2.46835 2.93476 1.22281 0.129591 0.0769331 3.88255 1.67628
4.89 5.77577 2.38297 3.23738 1.14419 0.174204 0.0697527 4.03512 1.94151
4.91 5.36443 2.23686 2.84037 1.18645 0.155507 0.0562169 3.98557 1.80274
4.93 5.69933 2.56836 3.53164 1.24763 0.161645 0.0806128 3.72509 1.74513
4.95 5.80842 2.15435 3.04893 0.993001 0.140435 0.0771477 3.63729 1.70356
4.97 5.11165 2.39762 3.06029 0.980056 0.144926 0.0735744 3.71587 1.79419
4.99 5.78008 2.32154 3.02402 1.24043 0.154337 0.0668858 3.80319 1.56773
5.01 6.46852 2.89235 3.34258 1.19723 0.139903 0.0752649 4.03897 2.02162
5.03 4.93514 2.12437 2.66281 1.08147 0.159633 0.0645127 3.45073 1.52948
5.05 4.59192 2.13459 2.99974 1.08898 0.170106 0.0740975 3.36155 1.52671
5.07 5.85884 2.07181 2.99586 1.02644 0.157043 0.0807244 3.3304 1.81035
5.09 5.1037 2.2596 2.72921 1.13137 0.133402 0.0702777 3.79353 1.28941
5.11 5.24073 2.2892 2.86036 1.16149 0.157639 0.0854678 3.34236 1.45811
5.13 5.18984 2.2286 2.96018 0.963981 0.132842 0.0601763 3.67356 1.60934
5.15 5.48077 2.13362 3.03115 1.1132 0.187108 0.0765962 3.44449 1.87075
5.17 5.16864 2.2353 2.82749 1.12096 0.162662 0.076979 3.47623 1.53921
5.19 5.19956 2.28776 2.79006 0.919218 0.130923 0.0788565 3.25299 1.58486
5.21 5.16148 2.2479 2.87319 0.881202 0.141901 0.074521 3.52655 1.5777
5.23 5.14958 1.95018 2.722 1.11346 0.169931 0.0725069 3.58207 1.4925
5.25 4.99618 2.20883 2.6176 1.02808 0.138887 0.0842251 3.34767 1.63048
5.27 4.93581 2.05535 3.05816 0.99999 0.155509 0.0776513 3.27574 1.58953
5.29 5.2737 2.1554 2.62533 0.834449 0.173452 0.0804246 3.34981 1.5102
5.31 5.25393 2.13292 2.61695 0.984026 0.183073 0.0827155 3.15558 1.64728
5.33 4.7223 2.09526 2.99462 0.974959 0.146861 0.0730788 3.23003 1.07096
5.35 4.85863 2.11901 2.61666 0.900832 0.144289 0.0794408 3.21109 1.62291
5.37 4.82509 2.24699 2.6468 0.995536 0.156722 0.0818521 3.30438 1.493
5.39 5.06189 2.05391 2.61812 0.984589 0.154941 0.0818521 3.23758 1.49672
5.41 4.88901 2.01141 2.35992 1.02467 0.161681 0.0896505 3.14515 1.46607
5.43 4.7496 2.07029 2.73947 0.987749 0.167456 0.0784442 3.46597 1.38205
5.45 4.56523 2.09505 2.76404 0.997568 0.165911 0.0740754 3.07472 1.30079
5.47 4.79401 1.77231 2.57691 0.870062 0.155071 0.0802589 3.16457 1.38521
5.49 4.77767 2.0957 2.63418 1.00472 0.139782 0.0845394 3.10024 1.57836
5.51 4.76035 1.98652 2.44766 0.957526 0.174049 0.100738 3.27884 1.55545
5.53 4.57444 2.05022 2.67509 1.01281 0.136753 0.0746545 3.12254 1.31423
5.55 4.35992 2.22959 2.60817 0.971081 0.170556 0.0700782 3.14558 1.49858
5.57 4.79045 1.94568 2.43144 0.904824 0.158367 0.0870726 2.78339 1.53749
5.59 4.49752 2.02862 2.74899 0.911328 0.151946 0.0807891 3.37371 1.45761
5.61 5.34301 2.40498 2.86453 1.02151 0.152398 0.0857716 3.55116 1.72598
5.63 3.82817 1.62166 2.26455 0.86423 0.170984 0.0830631 2.44433 1.03945
5.65 3.97191 1.60522 2.06777 0.789084 0.156389 0.0941103 2.81863 1.21908
5.67 4.4141 1.63185 2.42795 0.744714 0.124968 0.0810997 2.60137 1.28944
5.69 4.33472 1.81078 2.23702 0.791645 0.191023 0.0763291 2.73279 1.15604
5.71 4.1117 1.74699 2.2058 0.707823 0.164953 0.080165 2.71724 0.864682
5.73 4.47031 1.61071 2.2867 0.776017 0.149488 0.0828078 2.76552 1.3058
5.75 4.17576 1.80509 2.17882 0.823328 0.189426 0.105445 2.60533 1.43828
5.77 4.11446 1.62122 2.1812 0.838189 0.136468 0.0750637 2.86757 1.23981
